difficulty,ID,year,type,day,name,type,option,JP-ja
,JOI14_factories,2014,JOIop,Day1-1,Factories,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2014/2014-open-d1-factories.pdf
,JOI14_fortune_telling_2,2014,JOIop,Day1-2,Fortune Telling 2,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2014/2014-open-d1-fortune_telling2.pdf
,JOI14_space_pirate,2014,JOIop,Day1-3,Space Pirate,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2014/2014-open-d1-space_pirate.pdf
,JOI14_migration,2014,JOIop,Day2-1,Project of Migration,Output Only,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2014/2014-open-d2-migration.pdf
,JOI14_pinball,2014,JOIop,Day2-2,Pinball,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2014/2014-open-d2-pinball.pdf
,JOI14_secret,2014,JOIop,Day2-3,Secret,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2014/2014-open-d2-secret.pdf
,JOI15_colored_tiles,2015,JOIop,1,Colored Tiles,Batch, <span class=unavailable>Unavailable</span>,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2015/2015-open-colored_tiles.pdf
,JOI15_election_campaign,2015,JOIop,2,Election Campaign,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2015/2015-open-election_campaign.pdf
,JOI15_sterilizing,2015,JOIop,3,Sterilizing Spray,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2015/2015-open-sterilizing.pdf
,JOI16_joiris,2016,JOIop,1,JOIRIS,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2016/2016-open-joiris.pdf
,JOI16_selling_rna,2016,JOIop,2,Selling RNA Strands,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2016/2016-open-selling_rna.pdf
,JOI16_skyscraper,2016,JOIop,3,Skyscraper,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2016/2016-open-skyscraper.pdf
,JOI17_amusument_park,2017,JOIop,1,Amusement Park,Interactive,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2017/2017-open-amusement_park-ja.pdf
,JOI17_bulldozer,2017,JOIop,2,Bulldozer,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2017/2017-open-bulldozer-ja.pdf
,JOI17_golf,2017,JOIop,3,Golf,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2017/2017-open-golf-ja.pdf
,JOI18_bubblesort2,2018,JOIop,1,Bubble Sort 2,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2018/2018-open-bubblesort2-ja.pdf
,JOI18_catdog,2018,JOIop,2,Cats and Dogs,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2018/2018-open-catdog-ja.pdf
,JOI18_collapse,2018,JOIop,3,Collapse,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2018/2018-open-collapse-sol-ja.pdf
